name,address,datetime,temp,feelslike,humidity,windspeed,solarradiation,stations
CHARLOTTE,"2500 Distribution Street Suite 100 CHARLOTTE,NC 28203",2022-02-04,61,60.9,85.45,18.3,36.7,"KAKH,KCLT,KJQF,E7342"
CHARLOTTE,"2500 Distribution Street Suite 100 CHARLOTTE,NC 28203",2022-02-05,39.4,33.7,47.5,13.6,280.7,"KAKH,KCLT,KJQF,E7342"
CHARLOTTE,"2500 Distribution Street Suite 100 CHARLOTTE,NC 28203",2022-02-06,35.4,29.8,43.83,11.2,223.9,"KAKH,KCLT,KJQF,E7342,D7787"
NASHVILLE,"3078 Sidco Drive NASHVILLE,TN 37204",2022-01-30,41,36.6,37.01,12.5,348.6,"72327013897,0679W,KJWN,KBNA,KMQY,72327313827,F0622"
NASHVILLE,"3078 Sidco Drive NASHVILLE,TN 37204",2022-01-31,39.9,38,49.16,7.9,192.5,"72327013897,0679W,KJWN,KBNA,KMQY,F0622"
NASHVILLE,"3078 Sidco Drive NASHVILLE,TN 37204",2022-02-01,50.1,49.5,39.95,16.2,360.1,"72327013897,0679W,E9547,KJWN,KBNA,KMQY"
NASHVILLE,"3078 Sidco Drive NASHVILLE,TN 37204",2022-02-02,49.7,47.8,81.2,13.6,37.9,"72327013897,0679W,E9547,KJWN,KBNA,KMQY,AV736"
NASHVILLE,"3078 Sidco Drive NASHVILLE,TN 37204",2022-02-03,38.5,32.5,87.61,13.4,13.1,"0679W,E9547,KJWN,KBNA,KMQY,KM91,AV736"
NASHVILLE,"3078 Sidco Drive NASHVILLE,TN 37204",2022-02-04,28.5,19.8,79.43,12.5,83.2,"0679W,KJWN,KBNA,KMQY,KM91"
NASHVILLE,"3078 Sidco Drive NASHVILLE,TN 37204",2022-02-05,27.7,23.3,59.01,8.8,305,"0679W,E9547,KJWN,KBNA,KMQY,KM91"
NASHVILLE,"3078 Sidco Drive NASHVILLE,TN 37204",2022-02-06,34.9,33.4,57.47,11.1,359.1,"0679W,E9547,KJWN,KBNA,KMQY,KM91"
MISHAWAKA,"1020 East McKinley Avenue Suite 109 MISHAWAKA,IN 46545",2022-01-30,22.1,16.4,63.65,11.1,219.3,"C2578,C1697,KGSH,72438814829,MICAS,KSBN,KPPO,72535014848"
MISHAWAKA,"1020 East McKinley Avenue Suite 109 MISHAWAKA,IN 46545",2022-01-31,27.8,20.7,65.08,16.9,136.6,"C2578,KGSH,MICAS,KSBN,F7059,AS664,72535014848"
MISHAWAKA,"1020 East McKinley Avenue Suite 109 MISHAWAKA,IN 46545",2022-02-01,37.9,30.5,68.57,19.3,116.9,"C2578,KGSH,MICAS,KSBN,AS664,72535014848"
MISHAWAKA,"1020 East McKinley Avenue Suite 109 MISHAWAKA,IN 46545",2022-02-02,27.6,16.5,86.07,19.1,13.3,"C2578,KGSH,MICAS,KSBN,KPPO,F7059,72535014848"
MISHAWAKA,"1020 East McKinley Avenue Suite 109 MISHAWAKA,IN 46545",2022-02-03,18.9,5.6,71.23,16.2,25.1,"C2578,KGSH,MICAS,KSBN,KPPO"
MISHAWAKA,"1020 East McKinley Avenue Suite 109 MISHAWAKA,IN 46545",2022-02-04,14,4.4,68.51,10.9,181.8,"C2578,KGSH,MICAS,KSBN,KPPO,F7059"
MISHAWAKA,"1020 East McKinley Avenue Suite 109 MISHAWAKA,IN 46545",2022-02-05,16.2,4.1,73.74,14.4,217.5,"C2578,KGSH,KSBN,KPPO,F7059,MIBRS"
MISHAWAKA,"1020 East McKinley Avenue Suite 109 MISHAWAKA,IN 46545",2022-02-06,23.6,11.8,64.34,17.5,245.2,"C2578,KGSH,KSBN,KPPO,MIBRS"
URBANDALE,"12056 Meredith Drive URBANDALE,IA 50323",2022-01-30,18.7,10.3,72.54,16,96.2,"KDSM,72546014933,AMMI4,KIKV,72041254943,72547294989,C0005"
URBANDALE,"12056 Meredith Drive URBANDALE,IA 50323",2022-01-31,30.3,21.9,68.23,12.8,117.5,"KDSM,AMMI4,72546014933,KIKV,C0005"
URBANDALE,"12056 Meredith Drive URBANDALE,IA 50323",2022-02-01,30,20.3,65.16,21,75.6,"KDSM,72546014933,AMMI4,KIKV,C0005"
URBANDALE,"12056 Meredith Drive URBANDALE,IA 50323",2022-02-02,7.7,-10,65.33,20.5,83.9,"KDSM,KAMW,AMMI4,72546014933,KIKV,72041254943,BOOI4,C0005"
URBANDALE,"12056 Meredith Drive URBANDALE,IA 50323",2022-02-03,2.8,-12.2,61.23,14.6,102,"KDSM,KAMW,AMMI4,KIKV,C0005"
URBANDALE,"12056 Meredith Drive URBANDALE,IA 50323",2022-02-04,7.9,-3.1,66.2,20.5,99.7,"KDSM,KAMW,AMMI4,KIKV,BOOI4,C0005"
URBANDALE,"12056 Meredith Drive URBANDALE,IA 50323",2022-02-05,21,10.8,58.42,20.6,118.9,"KDSM,KAMW,AMMI4,KIKV,BOOI4,C0005"
URBANDALE,"12056 Meredith Drive URBANDALE,IA 50323",2022-02-06,27.8,18.5,70.75,20.5,65.9,"KDSM,KAMW,AMMI4,KIKV,C0005"
WEST PALM BEACH,"4281 Westroads Drive WEST PALM BEACH,FL 33407",2022-01-30,48.5,44.9,47.05,15,386.6,"72203012844,72204992805,C8019,D7488,72203912885,KPBI"
