name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike
BEACHWOOD,2022-02-20,42.7,18.8,29.9,34.1,8.7,20
BEACHWOOD,2022-02-21,45,32.8,39.2,43.5,26.8,34.8
BEACHWOOD,2022-02-22,47.9,40.9,44.4,42.9,35.5,39.2
RALEIGH,2022-02-15,50.3,23.1,36.4,50.3,23.1,34.5
RALEIGH,2022-02-16,63.8,27.2,46.5,63.8,23,45.8
RALEIGH,2022-02-17,69.2,44.9,55.7,69.2,43.2,55.2
RALEIGH,2022-02-18,66.1,41.4,57.6,66.1,36,56.6
RALEIGH,2022-02-19,56.7,33.7,43.8,56.7,26.3,40.2
RALEIGH,2022-02-20,49.7,27.2,36.5,46.5,22.5,32
RALEIGH,2022-02-21,59.3,36.6,48.2,59.3,32.3,46.8
RALEIGH,2022-02-22,57.1,52.1,54.2,57.1,52.1,54.2
PORTLAND,2022-02-15,48.8,38,43.7,48.8,36.4,43.3
PORTLAND,2022-02-16,49,38.4,42.8,49,37.3,41.4
PORTLAND,2022-02-17,51.2,37.8,45.1,51.2,35.3,44.1
PORTLAND,2022-02-18,47.7,44.1,45.7,47.7,44.1,45.7
PORTLAND,2022-02-19,53.1,44.7,47.9,53.1,42.6,47.3
PORTLAND,2022-02-20,45.4,40.4,42.6,39.8,35.5,37.7
PORTLAND,2022-02-21,48.6,35.5,42,48.1,35.5,42
PORTLAND,2022-02-22,49.5,34.1,41.4,49.5,34.1,41.4
MILWAUKEE,2022-02-15,29.2,10.5,21.4,18.3,10.5,15.6
MILWAUKEE,2022-02-16,51.5,25.8,42.6,51.5,17.9,35.8
MILWAUKEE,2022-02-17,32.3,10.1,20.9,22.9,-5.4,7.4
MILWAUKEE,2022-02-18,22.7,1.5,12.5,7.1,-11.4,-1.6
MILWAUKEE,2022-02-19,16.6,5.4,10.5,4.5,-15.2,-6.4
MILWAUKEE,2022-02-20,36.4,14.1,28.3,27,-2.7,16.8
MILWAUKEE,2022-02-21,31,23.1,25.5,24.7,8.9,13.5
MILWAUKEE,2022-02-22,27.8,15.2,21.6,16.7,0.5,8.7
AUSTIN,2022-02-15,70.8,41.6,56,70.8,41.6,55.9
AUSTIN,2022-02-16,71.3,56.4,62.6,71.3,56.4,62.6
AUSTIN,2022-02-17,68.1,42,58.7,68.1,33.5,57.5
AUSTIN,2022-02-18,54.6,34.1,42.9,54.6,25.4,37.6
AUSTIN,2022-02-19,58.6,38.9,47.7,58.6,34.6,45.9
AUSTIN,2022-02-20,64.5,45.2,54,64.5,41.1,52.1
AUSTIN,2022-02-21,77.6,58,64.5,77.6,58,64.5
AUSTIN,2022-02-22,81.9,65.2,70,81.3,65.2,69.9
WIXOM,2022-02-15,28.8,14.3,20.8,23,6.1,13.9
WIXOM,2022-02-16,52.4,20,39.4,52.4,6.9,31.6
WIXOM,2022-02-17,49.5,17.5,31.9,44.3,1.3,21.4
WIXOM,2022-02-18,22.9,-3.7,12.5,8.2,-16.4,-0.7
WIXOM,2022-02-19,24.9,5.4,14.6,10.4,-9,-1
WIXOM,2022-02-20,36.6,7.2,23.2,28.3,-7.2,10.9
WIXOM,2022-02-21,33.9,25.6,30.5,29.4,16,23.3
WIXOM,2022-02-22,37.8,29,34.6,33.5,19.7,27.5
OKLAHOMA CITY,2022-02-15,67.6,42.5,54.8,67.6,34.7,52.1
OKLAHOMA CITY,2022-02-16,71.3,52.8,60,71.3,52.8,60
OKLAHOMA CITY,2022-02-17,60,25.8,35.6,60,15.1,25.9
OKLAHOMA CITY,2022-02-18,50.6,24.9,36.2,50.6,18,31.4
OKLAHOMA CITY,2022-02-19,59.3,36.8,46.4,59.3,31.1,43.1
OKLAHOMA CITY,2022-02-20,62.9,44.3,52.2,62.9,36.1,48.4
OKLAHOMA CITY,2022-02-21,75.3,53.1,62.3,75.3,53.1,62.3
OKLAHOMA CITY,2022-02-22,61.4,39.6,48.3,61.4,30.6,42.9
ROMULUS,2022-02-15,28.3,9.8,20.6,19.9,0,13.4
ROMULUS,2022-02-16,53.9,20.2,39.3,53.9,12.6,33.4
ROMULUS,2022-02-17,50.4,21.3,35.3,50.4,5.7,26.8
ROMULUS,2022-02-18,25.1,1.1,14.4,11.3,-12.3,2
ROMULUS,2022-02-19,27,6.2,16.2,13.2,-6.5,1.4
ROMULUS,2022-02-20,37.3,5.8,23.1,28.7,-6,12.1
ROMULUS,2022-02-21,34.1,31,32.9,33.2,22.5,27.4
ROMULUS,2022-02-22,40,32.3,37.1,40,26.2,32.5
WEST VALLEY CITY,2022-02-15,52.6,34.4,44.6,52.6,31.3,41.6
WEST VALLEY CITY,2022-02-16,41.4,28.7,34.6,35.6,25.4,31.1
WEST VALLEY CITY,2022-02-17,38.6,22.9,31.4,35.9,19,28.9
WEST VALLEY CITY,2022-02-18,44.1,33.2,38,42,28.7,36.1
WEST VALLEY CITY,2022-02-19,50.3,34.4,41.5,50.3,28.8,38.6
WEST VALLEY CITY,2022-02-20,51.7,38.6,44.1,51.7,33.4,40.3
WEST VALLEY CITY,2022-02-21,31.7,24.2,29.9,25.2,14.5,22.7
WEST VALLEY CITY,2022-02-22,20.4,11.6,17,15.1,7.1,11.3
NEW ROCHELLE,2022-02-15,30.5,16.1,22.1,23.5,2.8,12.8
NEW ROCHELLE,2022-02-16,45.8,22,34.7,39.2,14.5,28.6
NEW ROCHELLE,2022-02-17,58,38.7,47.1,58,32.5,44.1
NEW ROCHELLE,2022-02-18,59.4,28.1,44.2,59.4,19.8,39
NEW ROCHELLE,2022-02-19,41.4,24.7,31.8,33.1,11.5,23.1
NEW ROCHELLE,2022-02-20,37.7,23.1,29.4,30.4,11.9,20.6
NEW ROCHELLE,2022-02-21,52.8,32.1,41,52.8,25.3,37.7
NEW ROCHELLE,2022-02-22,45.8,37.5,41.1,42,34.6,39.1
PELHAM,2022-02-15,65.7,34.7,50.2,65.7,34.7,50
PELHAM,2022-02-16,65.4,42.9,55.2,65.4,38.4,53.4
PELHAM,2022-02-17,70.1,54.6,61.9,70.1,54.6,61.9
PELHAM,2022-02-18,56.7,36.8,44.2,56.7,30.5,40.5
PELHAM,2022-02-19,55.5,30.8,42,55.5,26,39.1
PELHAM,2022-02-20,60.9,35.7,46.7,60.9,32.8,45.6
PELHAM,2022-02-21,55.3,48.8,51.3,55.3,46.4,50.4
PELHAM,2022-02-22,68.3,57.3,63.6,68.3,57.3,63.6
SYRACUSE,2022-02-15,26.3,10,18.4,23.6,-1,9.2
SYRACUSE,2022-02-16,46.1,16.1,34.7,38.4,8.2,26
SYRACUSE,2022-02-17,56.7,40.2,47.9,56.7,32.3,43.5
SYRACUSE,2022-02-18,59.3,18.8,25.4,59.3,5.1,14.9
SYRACUSE,2022-02-19,30.3,18.2,23.1,17.4,3.2,10.3
SYRACUSE,2022-02-20,38.7,18.6,27.6,30.3,5.4,17.5
SYRACUSE,2022-02-21,38,33.3,35.3,36.2,28.8,31.4
SYRACUSE,2022-02-22,49.4,33,41,43.9,26.2,35
ORLANDO,2022-02-15,72,46.8,59.2,72,45.3,58.8
ORLANDO,2022-02-16,79.1,54.8,66.7,79.1,54.8,66.7
ORLANDO,2022-02-17,80.1,64.8,70.7,81.6,64.8,70.8
ORLANDO,2022-02-18,85.2,65.4,73.3,85.8,65.4,73.6
ORLANDO,2022-02-19,72.4,56.4,65.6,72.4,56.4,65.6
ORLANDO,2022-02-20,76.7,53.7,63.9,76.7,53.7,63.9
ORLANDO,2022-02-21,81.6,61.1,69.4,81.5,61.1,69.4
ORLANDO,2022-02-22,78.9,66.3,72.4,78.9,66.3,72.4
ROCHESTER,2022-02-15,26.9,7.1,16,23.1,-6.7,5.5
ROCHESTER,2022-02-16,53,15.3,38.3,53,5.9,32.2
ROCHESTER,2022-02-17,55.3,40.2,48.8,55.3,33.5,46.5
ROCHESTER,2022-02-18,42,18,21.8,35.8,3.3,9.5
ROCHESTER,2022-02-19,29.9,19.7,23.3,16.9,3,8.8
ROCHESTER,2022-02-20,42,18.8,29.5,33.7,5.6,18.8
ROCHESTER,2022-02-21,40.4,30.1,34.8,32.1,19.1,27.3
ROCHESTER,2022-02-22,47,30.8,39.6,41.8,20.8,33.1
PLAINVIEW,2022-02-15,27.8,16.1,21.3,26.9,5.1,13.7
PLAINVIEW,2022-02-16,44.1,19.8,33.7,37,11.6,26.7
PLAINVIEW,2022-02-17,49.4,39.8,45.3,44.1,32.8,38.6
PLAINVIEW,2022-02-18,52.8,29,42.4,52.8,20.2,35.5
PLAINVIEW,2022-02-19,40.4,25.6,32.1,30.6,10.7,21.5
PLAINVIEW,2022-02-20,36.6,24.3,29.8,28.7,10.7,19.2
PLAINVIEW,2022-02-21,45.9,34.4,39.4,42.2,25.5,33.4
PLAINVIEW,2022-02-22,44.9,37.3,40.4,39.7,30.9,35.5
DAYTON,2022-02-15,40,17.2,28.5,34.2,10.3,22.6
DAYTON,2022-02-16,55.1,35.9,46.7,55.1,27.5,42.8
DAYTON,2022-02-17,60.7,33,51.1,60.7,22.9,49.2
DAYTON,2022-02-18,34.2,22.9,28.3,26.9,12.4,18.7
DAYTON,2022-02-19,31.2,20.4,26.1,19.6,5.4,15.4
DAYTON,2022-02-20,48.1,23.4,33.2,41.9,14.1,25.4
DAYTON,2022-02-21,51.2,33.5,42.3,51.2,27.5,38.2
DAYTON,2022-02-22,53.7,45.8,50.2,53.7,42.1,48
BUFFALO,2022-02-15,22.9,11.9,17.7,16.9,-0.5,7.7
BUFFALO,2022-02-16,47.2,15.9,34.8,40.1,8.7,27
BUFFALO,2022-02-17,50.6,36.8,45.4,50.6,27.7,40.2
BUFFALO,2022-02-18,37.1,16.1,20.6,28.5,2.9,9.4
BUFFALO,2022-02-19,27.6,17.7,21.4,14.8,2.1,7.9
BUFFALO,2022-02-20,40.4,17.9,28.1,31.4,5.6,17.5
BUFFALO,2022-02-21,38.6,30.8,34,33.3,21.7,28.2
BUFFALO,2022-02-22,47.6,31,39.9,43.4,22.2,34.5
FULLERTON,2022-02-15,60.2,46.8,56.1,60.2,44.9,56
FULLERTON,2022-02-16,70.2,43.2,55,70.2,40,54.4
FULLERTON,2022-02-17,70.6,44.1,59,70.6,40.4,58.1
FULLERTON,2022-02-18,73.3,56.2,63.9,73.3,56.2,63.9
FULLERTON,2022-02-19,75.8,58.4,65.9,75.8,58.4,65.9
FULLERTON,2022-02-20,69.2,57.3,61.6,69.2,57.3,61.6
FULLERTON,2022-02-21,61.1,54.2,56.6,61.1,54.2,56.6
FULLERTON,2022-02-22,61.4,49.9,55.4,61.4,49.9,55.4
NORTH HOLLYWOOD,2022-02-15,58.7,47.4,54.3,58.7,42.2,53.6
NORTH HOLLYWOOD,2022-02-16,71.9,43.4,56.6,71.9,40.9,56
NORTH HOLLYWOOD,2022-02-17,67.7,46.5,57.5,67.7,46.3,57.4
NORTH HOLLYWOOD,2022-02-18,71.5,51.9,60.6,71.5,51.9,60.6
NORTH HOLLYWOOD,2022-02-19,73.8,54.1,63,73.8,54.1,63
NORTH HOLLYWOOD,2022-02-20,65.6,54.2,59.4,65.6,54.2,59.4
NORTH HOLLYWOOD,2022-02-21,58.4,48.1,52.3,58.4,46.3,52
NORTH HOLLYWOOD,2022-02-22,57.1,44.5,50.2,57.1,42.7,49.2
SHAWNEE,2022-02-15,65.2,31.5,48.1,65.2,23.6,45.1
SHAWNEE,2022-02-16,65.6,36.2,53.6,65.6,28.1,51.9
SHAWNEE,2022-02-17,34.1,-3.2,20.8,25.3,-8.6,9.2
SHAWNEE,2022-02-18,33,-5.5,16.1,23.8,-15.7,6.6
SHAWNEE,2022-02-19,35.7,9.4,24.3,26.7,2.7,16.5
SHAWNEE,2022-02-20,50.3,37.3,40.7,50.3,27.6,34.2
SHAWNEE,2022-02-21,60.7,39.8,49,60.7,35.1,46.6
SHAWNEE,2022-02-22,53.3,27.2,34.2,53.3,17,25.7
INDIANAPOLIS,2022-02-15,42.7,18.8,30.3,37,12.5,25.4
INDIANAPOLIS,2022-02-16,52.1,39.1,46.4,52.1,31.2,42.6
INDIANAPOLIS,2022-02-17,56.9,25.2,46.1,56.9,11.5,42.1
INDIANAPOLIS,2022-02-18,32.1,20,26.4,23.4,9.6,16.5
INDIANAPOLIS,2022-02-19,32.1,16.1,24.1,20.2,0.2,13.3
INDIANAPOLIS,2022-02-20,47.9,25.4,34.9,41.3,16.2,26.1
INDIANAPOLIS,2022-02-21,55.8,35,45.2,55.8,29.9,41.6
INDIANAPOLIS,2022-02-22,53,48.3,50.4,53,44.1,48.9
TEMPE,2022-02-15,77.8,48.9,62.6,77.8,44.9,62.5
TEMPE,2022-02-16,58.2,44.7,51.9,58.2,41.5,51.4
TEMPE,2022-02-17,63.1,39.1,53.1,63.1,35.9,52
TEMPE,2022-02-18,68.1,52.2,60.6,68.1,52.2,60.6
TEMPE,2022-02-19,73.3,53.7,63.8,73.3,53.7,63.8
TEMPE,2022-02-20,73.8,58.7,65.9,73.8,58.7,65.9
TEMPE,2022-02-21,68.4,51.9,60.8,68.4,51.9,60.8
TEMPE,2022-02-22,57.8,47.6,50.3,57.8,40.8,46.9
TAMPA,2022-02-15,73.3,46.2,59.5,73.3,43.3,58.8
TAMPA,2022-02-16,81.8,54.2,67.9,80.7,54.2,67.8
TAMPA,2022-02-17,78,64.5,69.3,78,64.5,69.3
TAMPA,2022-02-18,69.9,64.3,66.4,69.9,64.3,66.4
TAMPA,2022-02-19,65,59.1,62.7,65,59.1,62.7
TAMPA,2022-02-20,71,54.2,62.6,71,54.2,62.6
TAMPA,2022-02-21,74.9,61.2,68.3,74.9,61.2,68.3
TAMPA,2022-02-22,75.3,65,69,75.3,65,69
CANTON,2022-02-15,25,-0.3,14.5,14.8,-0.9,7.6
CANTON,2022-02-16,38.7,11.6,26.2,30.2,2.1,17.7
CANTON,2022-02-17,54.9,39.8,46.6,54.9,31.8,42.2
CANTON,2022-02-18,56.9,27.4,44.8,56.9,21.3,40.6
CANTON,2022-02-19,39.8,25.2,30.4,32.7,13,23
CANTON,2022-02-20,36.9,21.5,28.6,30.3,12.7,19.6
CANTON,2022-02-21,51,33.2,39.6,51,24.1,35.2
CANTON,2022-02-22,49.4,33.9,41.3,48.6,30.4,38.8
WICHITA,2022-02-15,66.3,39.8,52.7,66.3,32.5,49.9
WICHITA,2022-02-16,64.3,39.1,53.3,64.3,30.6,51.6
WICHITA,2022-02-17,37.5,4.4,22.9,28.1,-2.7,11.3
WICHITA,2022-02-18,33,0.8,19.2,26.3,-8.8,10.5
WICHITA,2022-02-19,40.2,21.3,30.9,33.2,13.9,24
WICHITA,2022-02-20,62.1,39.8,48.1,62.1,31,43.9
WICHITA,2022-02-21,69.9,48.8,55.8,69.9,43.5,53.3
WICHITA,2022-02-22,44,26.5,33.7,36.5,13.2,23.5
SAN ANTONIO,2022-02-15,71.9,40.4,56.6,71.9,38.3,56
SAN ANTONIO,2022-02-16,80,52.8,64.1,80,52.8,64.1
SAN ANTONIO,2022-02-17,72.2,45.8,61.3,72.2,38.3,60.4
SAN ANTONIO,2022-02-18,59.1,36.2,46.1,59.1,27.6,41.4
SAN ANTONIO,2022-02-19,61.2,40.7,49.5,61.2,37.5,48
SAN ANTONIO,2022-02-20,65,44.7,54,65,41.7,52.8
SAN ANTONIO,2022-02-21,79.8,58.2,65,79.8,58.2,65
SAN ANTONIO,2022-02-22,83.6,63.6,70,81.1,63.6,69.6
ALEXANDRIA,2022-02-15,38.6,19.5,28.9,36.4,15.9,25.8
ALEXANDRIA,2022-02-16,54.8,27.6,40.5,54.8,22,35.8
ALEXANDRIA,2022-02-17,64.1,44.9,53.6,64.1,39.3,51.2
ALEXANDRIA,2022-02-18,62.3,33,47.1,62.3,28.1,42.5
ALEXANDRIA,2022-02-19,44.5,26.3,34.3,37.5,16.7,26.6
ALEXANDRIA,2022-02-20,45.4,25.2,33.6,40.3,16.9,27.6
ALEXANDRIA,2022-02-21,56.2,33,44.3,56.2,28.8,41.7
ALEXANDRIA,2022-02-22,52.6,45.4,49.4,52.6,43.2,48
TULSA,2022-02-15,66.1,37,53,66.1,36.1,52.1
TULSA,2022-02-16,69.2,55.3,61.1,69.2,55.3,61.1
TULSA,2022-02-17,60.7,26.1,39.1,60.7,15.4,31.2
TULSA,2022-02-18,49.7,24.5,36,45.7,17.9,32
TULSA,2022-02-19,57.3,34.8,45.4,57.3,30.6,43.1
TULSA,2022-02-20,63.1,45.6,52.7,63.1,39,49.5
TULSA,2022-02-21,75.5,54.4,62.2,75.5,54.4,62.2
TULSA,2022-02-22,62,37.7,50.7,62,29.3,46.6
BRIDGEVILLE,2022-02-15,30.5,10.4,20.8,26.1,10.4,18.5
BRIDGEVILLE,2022-02-16,54.4,22,37.8,54.4,14,32.7
BRIDGEVILLE,2022-02-17,59.3,44.1,51.5,59.3,38.6,49.2
BRIDGEVILLE,2022-02-18,54.4,22.2,30,54.4,10.4,22
BRIDGEVILLE,2022-02-19,29.6,19.7,25,18.2,10,14
BRIDGEVILLE,2022-02-20,44,19.1,29.5,38.3,10.6,22.6
BRIDGEVILLE,2022-02-21,50.4,30.8,40.5,50.4,25.8,37.1
BRIDGEVILLE,2022-02-22,52.6,40.9,47,52.6,37.5,45.2
SAN LUIS OBISPO,2022-02-15,58.4,47,52.4,58.4,42.8,51.1
SAN LUIS OBISPO,2022-02-16,68.6,43.1,53.7,68.6,40.5,52.9
SAN LUIS OBISPO,2022-02-17,64.5,44.7,52.6,64.5,44.7,52.3
SAN LUIS OBISPO,2022-02-18,67,42.3,52.8,67,39.3,51.8
SAN LUIS OBISPO,2022-02-19,71.7,45,55.7,71.7,41.9,54.7
SAN LUIS OBISPO,2022-02-20,62.3,45.2,50.9,62.3,43.2,50.4
SAN LUIS OBISPO,2022-02-21,53.9,38.4,45.7,53.9,36.1,44.9
SAN LUIS OBISPO,2022-02-22,57.8,34.6,44.2,57.8,31.3,43.3
HARRISBURG,2022-02-15,33,17.1,25.8,31,9.7,19.6
HARRISBURG,2022-02-16,50.4,22,35.4,50.4,15.2,30.8
HARRISBURG,2022-02-17,57.1,35.5,47.5,57.1,32.3,46.3
HARRISBURG,2022-02-18,58.7,27.8,39.9,58.7,22.2,33.8
HARRISBURG,2022-02-19,37.1,20.2,27.8,27.5,7,18.2
HARRISBURG,2022-02-20,39.3,18.9,27,32.1,9.1,20.9
HARRISBURG,2022-02-21,51,26.7,37.8,51,26.7,36.9
HARRISBURG,2022-02-22,50.1,36.6,43.6,50.1,33.1,39.9
NORCROSS,2022-02-15,59.3,29.1,43.7,59.3,29.1,43
NORCROSS,2022-02-16,63.9,36.9,49.5,63.9,31.5,47.1
NORCROSS,2022-02-17,66.6,49.9,58.4,66.6,46.9,58.2
NORCROSS,2022-02-18,64.8,42.7,52,64.8,36.7,49.8
NORCROSS,2022-02-19,54.8,36,44.6,54.8,29.3,40.5
NORCROSS,2022-02-20,57.5,36.8,45.6,57.5,30.8,42.9
NORCROSS,2022-02-21,50.3,44.9,46.9,50.3,41.1,44
NORCROSS,2022-02-22,54.6,52.6,53.4,54.6,52.6,53.4
MONTGOMERY,2022-02-15,67.2,33,49.3,67.2,33,48.8
MONTGOMERY,2022-02-16,71,39.5,54.7,71,36.1,54
MONTGOMERY,2022-02-17,75.5,53.9,64.6,75.5,53.9,64.6
MONTGOMERY,2022-02-18,67,43.8,53.4,67,39.7,52.1
MONTGOMERY,2022-02-19,59.6,35.3,46.5,59.6,30.3,43.7
MONTGOMERY,2022-02-20,64.8,36.8,49.4,64.8,32.7,47.6
MONTGOMERY,2022-02-21,58.6,50.1,53.7,58.6,50.1,53.7
MONTGOMERY,2022-02-22,77.8,60.3,67.3,77.8,60.3,67.3
LANHAM,2022-02-15,38.6,18.8,28,34.7,9,23.3
LANHAM,2022-02-16,54.9,27.2,39.8,54.9,20.6,35.5
LANHAM,2022-02-17,64.8,43.2,53.1,64.8,38.3,51
LANHAM,2022-02-18,62.5,34.8,48.1,62.5,29.5,43.5
LANHAM,2022-02-19,45.4,27.6,35.4,38.4,17.7,28.2
LANHAM,2022-02-20,45.8,26.5,34.1,40.9,17.6,28.2
LANHAM,2022-02-21,56.2,34.1,44.6,56.2,30.3,42.2
LANHAM,2022-02-22,52.8,45.8,49.8,52.8,44,48.6
SPOKANE,2022-02-15,43.4,32.9,37.5,43.4,29.7,36.1
SPOKANE,2022-02-16,47.6,31.7,38.9,42.6,26.6,33.8
SPOKANE,2022-02-17,36.9,28.5,32.2,36.8,23.6,29.5
SPOKANE,2022-02-18,35.5,31.2,33.8,35.5,27.4,33.2
SPOKANE,2022-02-19,38.2,34.2,36.3,38.2,31,34.3
SPOKANE,2022-02-20,41.3,33,37.4,37.1,28.9,32
SPOKANE,2022-02-21,31.7,24.2,28.1,23.7,15,20.3
SPOKANE,2022-02-22,32.3,20.9,27.1,32.3,14.2,22.9
DALLAS,2022-02-15,68.3,43.5,56.4,68.3,37.5,54.9
DALLAS,2022-02-16,66.6,55.8,62.1,66.6,55.8,62.1
DALLAS,2022-02-17,63.8,35.7,52.8,63.8,27,49.1
DALLAS,2022-02-18,51.2,31.5,40.9,51.2,23.1,37
DALLAS,2022-02-19,60.9,42.2,51,60.9,42.2,51
DALLAS,2022-02-20,63.9,47.7,55.5,63.9,43.7,54.5
DALLAS,2022-02-21,73.5,58.9,64.9,73.5,58.9,64.9
DALLAS,2022-02-22,71,57.3,64.6,71,57.3,64.6
FLINT,2022-02-15,29.6,17.1,21.8,21.4,7.3,13.8
FLINT,2022-02-16,53.3,22.5,41.2,53.3,7.9,33
FLINT,2022-02-17,49.5,17.7,30.1,43.9,1.6,18.6
FLINT,2022-02-18,22.7,-5.2,12.6,7.6,-17.1,-0.4
FLINT,2022-02-19,25.1,5.6,14.9,10,-8.9,-1
FLINT,2022-02-20,36.4,7.4,23.4,27.9,-7.9,10.7
FLINT,2022-02-21,33.9,24.2,29.2,29.4,13.5,20.8
FLINT,2022-02-22,36.8,26.3,33.4,36.4,15.5,26.6
OAK FOREST,2022-02-15,40.9,20.2,30.1,31.8,11.9,22.5
OAK FOREST,2022-02-16,53.1,42,48.8,53.1,33.2,45.1
OAK FOREST,2022-02-17,51.2,14.3,28.1,51.2,0.7,16.4
OAK FOREST,2022-02-18,27.4,-4.1,14.5,15.5,-10.3,4
OAK FOREST,2022-02-19,19.5,6,12.3,12,-9,-0.1
OAK FOREST,2022-02-20,36.9,13.9,29.2,29.7,1.7,19.9
OAK FOREST,2022-02-21,35.5,32.8,34.1,32.8,28.7,30.3
OAK FOREST,2022-02-22,39.5,29.9,35.5,39.5,20.7,29.8
GREENVILLE,2022-02-15,54.4,33.6,42.9,54.4,26.9,40.5
GREENVILLE,2022-02-16,62.9,31.5,46.2,62.9,26.6,44.3
GREENVILLE,2022-02-17,62,44,52.7,62,41.9,52.4
GREENVILLE,2022-02-18,62.5,38,51.7,62.5,33.3,50.3
GREENVILLE,2022-02-19,59.6,33.2,42.1,59.6,29.2,39
GREENVILLE,2022-02-20,49.9,29.2,38.2,47.3,26.8,36.3
GREENVILLE,2022-02-21,47.2,37.8,43.7,46.7,37.8,43.4
GREENVILLE,2022-02-22,52.4,47.4,50.4,52.4,45.7,49.2
NORTH CHARLESTON,2022-02-15,63.4,31.9,48.3,63.4,27.4,46.9
NORTH CHARLESTON,2022-02-16,70.2,43.8,57.2,70.2,40.5,56.1
NORTH CHARLESTON,2022-02-17,73.3,54.6,64.5,73.3,54.6,64.5
NORTH CHARLESTON,2022-02-18,74.6,54.6,64.3,74.6,54.6,64.3
NORTH CHARLESTON,2022-02-19,63.8,47.6,54.4,63.8,45.1,53.9
NORTH CHARLESTON,2022-02-20,61.2,38.7,50.8,61.2,33.4,48.9
NORTH CHARLESTON,2022-02-21,69.5,52.4,60.4,69.5,52.4,60.4
NORTH CHARLESTON,2022-02-22,67.9,62.9,65.5,67.9,62.9,65.5
NEW ORLEANS,2022-02-15,67,41.1,54.3,67,41.1,54.2
NEW ORLEANS,2022-02-16,73.3,51.2,61.9,73.3,51.2,61.9
NEW ORLEANS,2022-02-17,75.5,64.8,69.3,75.5,64.8,69.3
NEW ORLEANS,2022-02-18,65,46.5,53.7,65,40.1,52.4
NEW ORLEANS,2022-02-19,57.5,47.4,51.9,57.5,41.5,49.8
NEW ORLEANS,2022-02-20,64.8,50.8,57.1,64.8,50.8,57.1
NEW ORLEANS,2022-02-21,65.7,59.1,62,65.7,59.1,62
NEW ORLEANS,2022-02-22,76.2,63.8,68.9,76.2,63.8,68.9
WOBURN,2022-02-15,25.2,6.5,15.4,16.6,-4.4,6.1
WOBURN,2022-02-16,37.5,13.5,26,30,7.3,19.3
WOBURN,2022-02-17,55.1,38,46.8,55.1,30.8,42.7
WOBURN,2022-02-18,56.7,24.9,42.7,56.7,15.1,37.3
WOBURN,2022-02-19,38,24.3,28.7,31.2,13.2,21.3
WOBURN,2022-02-20,36,20.2,28.1,29.3,10.8,18.9
WOBURN,2022-02-21,50.4,32.6,39.2,50.4,24.4,35
WOBURN,2022-02-22,41.1,34.1,38.3,39.1,27.5,34.1
HALTOM CITY,2022-02-15,69.7,46,57.9,69.7,40.4,56.7
HALTOM CITY,2022-02-16,70.1,58.2,63.5,70.1,58.2,63.5
HALTOM CITY,2022-02-17,64.7,33.5,51.3,64.7,24,46.6
HALTOM CITY,2022-02-18,49.7,29.9,39,49.7,21.3,35.2
HALTOM CITY,2022-02-19,60.3,38.7,48.6,60.3,37.3,47.5
HALTOM CITY,2022-02-20,65.6,44,53.8,65.6,38.7,51.2
HALTOM CITY,2022-02-21,78.3,57.5,65.6,78.3,57.5,65.6
HALTOM CITY,2022-02-22,72.1,56.7,64.9,72.1,56.7,64.9
FRANKLIN,2022-02-15,29.8,17,24.6,23.3,16.3,18.4
FRANKLIN,2022-02-16,51.7,32.8,44.6,51.7,22.3,38.6
FRANKLIN,2022-02-17,31.4,11.4,21.8,20,-2.8,8
FRANKLIN,2022-02-18,25.6,0.4,13,11.1,-8.5,-0.1
FRANKLIN,2022-02-19,18,6.7,11.5,8,-12.8,-4.1
FRANKLIN,2022-02-20,36.9,14.1,29,28.7,-1.3,18.1
FRANKLIN,2022-02-21,32.3,25.8,28.6,27.9,13.1,18.4
FRANKLIN,2022-02-22,31.2,18.9,25.7,22.5,5.1,14.5
NORRISTOWN,2022-02-15,31.5,7.7,20.2,26.7,7.7,16.6
NORRISTOWN,2022-02-16,51,20.9,34.9,51,13.7,29.8
NORRISTOWN,2022-02-17,59.3,38.4,48.6,59.3,34.8,46.4
NORRISTOWN,2022-02-18,59.4,29.7,44.7,59.4,24.5,39.7
NORRISTOWN,2022-02-19,41.1,22.5,30.8,31.7,9.8,21.1
NORRISTOWN,2022-02-20,38.6,21.5,28.2,31.5,10.3,20.2
NORRISTOWN,2022-02-21,53.3,28.1,39.5,53.3,22.1,36.8
NORRISTOWN,2022-02-22,55.7,38.7,46.1,55.7,36.8,44.9
BATON ROUGE,2022-02-15,64.3,34.1,50.7,64.3,28.8,49.9
BATON ROUGE,2022-02-16,67.4,49,58.8,67.4,47,58.3
BATON ROUGE,2022-02-17,75.1,56.6,67.2,75.1,56.6,67.2
BATON ROUGE,2022-02-18,57.6,39.1,48.5,57.6,32.2,45
BATON ROUGE,2022-02-19,61.2,40,49.5,61.2,35.7,47.4
BATON ROUGE,2022-02-20,68.6,45,55.3,68.6,41.7,54.2
BATON ROUGE,2022-02-21,65.7,57.6,61.4,65.7,57.6,61.4
BATON ROUGE,2022-02-22,79.4,63.6,69.8,79.4,63.6,69.8
JACKSONVILLE,2022-02-15,64.3,41.6,52.9,64.3,41.6,52.9
JACKSONVILLE,2022-02-16,69.7,52.8,60.8,69.7,52.8,60.8
JACKSONVILLE,2022-02-17,81.4,58.7,68,82,58.7,68.1
