name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike
LANGHORNE,2022-02-22,54.6,40.9,46.8,54.6,39.2,45.8
LACEY,2022-02-15,47,31.7,39.4,47,31.7,38
LACEY,2022-02-16,50.4,37.5,42.9,50.4,34.2,40.6
LACEY,2022-02-17,50.6,38.6,44,50.6,33.7,42
LACEY,2022-02-18,51,43.2,45.9,51,41.1,45.2
LACEY,2022-02-19,48.1,44,45.6,43.2,40.6,42
LACEY,2022-02-20,45.9,38,41.3,43.7,30.9,37.7
LACEY,2022-02-21,48.1,32.1,37.9,48.1,32.1,37.5
LACEY,2022-02-22,49.5,29.2,37.5,49.5,29.2,37.4
CHESAPEAKE,2022-02-15,43.2,26.3,33.1,43.2,20.4,27.9
CHESAPEAKE,2022-02-16,61.6,29.9,45.7,61.6,24.1,42.8
CHESAPEAKE,2022-02-17,60.7,42.2,52.8,60.7,41.9,51.7
CHESAPEAKE,2022-02-18,62,41.1,52,62,33.3,49
CHESAPEAKE,2022-02-19,49.9,34.8,42.2,43.5,23.6,35
CHESAPEAKE,2022-02-20,42.2,32.1,35.9,38.2,21.9,28.3
CHESAPEAKE,2022-02-21,51.2,40.2,45.8,51.2,32.7,41.9
CHESAPEAKE,2022-02-22,51.9,47.7,50.2,51.9,44.5,48.9
COLUMBUS,2022-02-15,35.5,15,26.5,29.6,8.2,22
COLUMBUS,2022-02-16,55.1,30.1,43.4,55.1,22.7,39.3
COLUMBUS,2022-02-17,60,42.7,50.6,60,34.2,48.2
COLUMBUS,2022-02-18,33.5,23.3,28.2,24.7,11.4,18.5
COLUMBUS,2022-02-19,30.6,20.7,25.8,18.5,5,14.3
COLUMBUS,2022-02-20,47.4,22.5,32.7,40.9,12.5,24.5
COLUMBUS,2022-02-21,50.1,33,42.2,50.1,27.2,37.6
COLUMBUS,2022-02-22,53.3,44.3,48.5,53.3,39.1,46
BOTHELL,2022-02-15,46.5,42.2,43.5,46.5,38.2,41.7
BOTHELL,2022-02-16,48.8,40.4,43.8,47.7,37.1,42.4
BOTHELL,2022-02-17,46.8,37.8,41.5,44.9,33.5,39.1
BOTHELL,2022-02-18,49,42.9,45.2,47.6,41.9,44.6
BOTHELL,2022-02-19,47.7,44,45.4,44,40.6,42.3
BOTHELL,2022-02-20,42.9,37.1,40.2,40.4,32.8,37.2
BOTHELL,2022-02-21,46.3,31,36.9,46.3,31,36.6
BOTHELL,2022-02-22,47.6,28.8,36.4,47.6,28.8,36.4
HARTFORD,2022-02-15,27.9,11.9,19.4,21.4,3.4,11.7
HARTFORD,2022-02-16,44,14.8,30.2,36.8,8.6,24.7
HARTFORD,2022-02-17,54.6,39.5,46.5,54.6,32.4,42.9
HARTFORD,2022-02-18,57.5,26.3,42.5,57.5,18.3,37.9
HARTFORD,2022-02-19,39.6,25.1,30.1,32,13.6,22.2
HARTFORD,2022-02-20,36,21.5,28.1,28.6,10.6,19.3
HARTFORD,2022-02-21,51.3,31.2,39.8,51.3,24.4,36.3
HARTFORD,2022-02-22,45.6,33.9,39.5,45.6,31.3,38.3
MAUMEE,2022-02-15,34.1,11.8,21.7,27.6,10.6,17
MAUMEE,2022-02-16,55.7,22,44.2,55.7,15.2,40.1
MAUMEE,2022-02-17,52.8,20.9,38.7,52.8,6,32.5
MAUMEE,2022-02-18,26.9,3.3,16.1,13.5,-9.5,4.8
MAUMEE,2022-02-19,27.8,10.8,18.1,14.3,-4.2,4.3
MAUMEE,2022-02-20,40.7,11,27,31.8,1.7,16.7
MAUMEE,2022-02-21,39.8,32.8,35.5,36.7,24.5,30.3
MAUMEE,2022-02-22,46.7,33.5,42.4,44.1,27.4,38.5
READING,2022-02-15,32.3,11,22.7,27.2,10,19.1
READING,2022-02-16,49.5,19.3,33.7,44.4,14.6,30.1
READING,2022-02-17,56.4,36.8,47.2,56.4,32,44.7
READING,2022-02-18,59.4,28.8,42.4,59.4,22.9,36.6
READING,2022-02-19,39.3,21.1,29.2,29.1,8.2,19.6
READING,2022-02-20,39.3,20.7,27.3,31.6,9.4,19.6
READING,2022-02-21,51.3,27.8,38.4,51.3,23.4,37.2
READING,2022-02-22,50.8,36.8,43,50.8,33.1,40.9
WYOMING,2022-02-15,29.2,17.6,22.6,19.8,8.3,14
WYOMING,2022-02-16,49.5,27.4,41.4,43.6,16.8,32.9
WYOMING,2022-02-17,47.4,14.4,27.8,42,-0.7,17.2
WYOMING,2022-02-18,26.1,-2.1,13.3,11.9,-10.5,2.3
WYOMING,2022-02-19,25.2,8.1,14.9,9.2,-5.5,-0.3
WYOMING,2022-02-20,35.7,10.1,25,27.6,-4.9,12.8
WYOMING,2022-02-21,33.2,24.5,28.7,32.6,11.5,19.7
WYOMING,2022-02-22,35.7,26.3,32.1,32.5,14.2,24.9
FORT MYERS,2022-02-15,76.8,49.9,63.3,76.8,47.1,63.2
FORT MYERS,2022-02-16,79.6,59.3,68.6,79.6,59.3,68.6
FORT MYERS,2022-02-17,84.8,65.4,73.2,85.7,65.4,73.4
FORT MYERS,2022-02-18,82.1,67.9,73.1,84.4,67.9,73.6
FORT MYERS,2022-02-19,79.8,63.9,70.6,79.8,63.9,70.6
FORT MYERS,2022-02-20,79.6,59.3,68.5,79.6,59.3,68.5
FORT MYERS,2022-02-21,83,65.2,73,84.2,65.2,73.2
FORT MYERS,2022-02-22,86.1,67.4,75.3,87.1,67.4,75.6
MAUMELLE,2022-02-15,65.6,35.7,50.9,65.6,35.7,50.9
MAUMELLE,2022-02-16,69.3,49.5,58.4,69.3,46.1,58.1
MAUMELLE,2022-02-17,68.8,31.5,54,68.8,23.3,51.3
MAUMELLE,2022-02-18,48.8,28.7,37.2,48.8,22.1,33.6
MAUMELLE,2022-02-19,54.1,31.5,41.8,54.1,27.7,39.4
MAUMELLE,2022-02-20,61.4,36.4,47.5,61.4,33.6,45.8
MAUMELLE,2022-02-21,58.2,46.7,53.5,58.2,44.8,52.9
MAUMELLE,2022-02-22,64.1,58.9,62,64.1,58.9,62
SEATTLE,2022-02-15,47.7,41,43.8,45.2,36.7,41.5
SEATTLE,2022-02-16,49.7,40,44.8,49.7,37.3,43.4
SEATTLE,2022-02-17,49.2,37.3,43.2,47.5,32.2,40.6
SEATTLE,2022-02-18,48.3,44.5,45.8,46.7,42.1,44.3
SEATTLE,2022-02-19,47.4,44.7,45.9,45.4,39.2,42
SEATTLE,2022-02-20,44.5,38.6,41.6,44.5,31.9,37.5
SEATTLE,2022-02-21,46.8,36.9,41.5,43.9,36.5,39
SEATTLE,2022-02-22,47.7,32.6,39.6,47.7,32.6,39.6
NAPERVILLE,2022-02-15,38.6,20.1,29.7,30.8,12.4,21.8
NAPERVILLE,2022-02-16,51.9,40.2,47,51.9,31.5,42.7
NAPERVILLE,2022-02-17,40,11.4,25.8,33.7,-4.3,12.7
NAPERVILLE,2022-02-18,26.9,-9,11.1,12.4,-18.5,-1.8
NAPERVILLE,2022-02-19,16.6,3.8,9.5,6.6,-14.2,-5.9
NAPERVILLE,2022-02-20,36,9.9,27.8,29,-5.5,16.2
NAPERVILLE,2022-02-21,34.6,32.3,33.3,33.2,22.4,26.2
NAPERVILLE,2022-02-22,36.4,24,31.9,36.4,11.7,24.8
KENT,2022-02-15,33,5,19,31.4,5,15.3
KENT,2022-02-16,55.7,24.7,43.5,55.7,14.5,38.7
KENT,2022-02-17,56.7,30.6,47.7,56.7,19.9,43.7
KENT,2022-02-18,27.4,17.9,22.8,16.2,4.7,11.9
KENT,2022-02-19,29.4,16.4,21.7,17.6,0.7,8.9
